backbone_id,global_index,clean_pairs
7TO1_1_B,1773,16
2DU4_1_C,1901,16
6XIR_1_AZ,2362,16
8BTK_1_AT,2541,16
7NGA_1_X,2748,16
7ZP8_1_v,2750,16
6VWM_1_5,2832,16
2OIU_1_P,3448,16
7QEP_1_2,3497,16
4GPX_1_A,3553,16
5Y6Z_1_B,3554,16
6O0X_1_B,261,15
6OM6_1_5,270,15
5FJC_1_A,344,15
6XIR_1_3,363,15
4PDB_1_I,1179,15
4K50_1_F,1220,15
7OMA_1_K,1705,15
7WIA_1_V,1732,15
7N30_1_Dt,1925,15
1MMS_1_D,1935,15
4X4U_1_B,2018,15
6TY9_1_T,2034,15
7AS8_1_2,2110,15
4X4P_1_D,2349,15
6WW6_1_E,2415,15
3A3A_1_A,2527,15
4MGN_1_B,2890,15
6OPE_1_QY,3194,15
6ZM6_1_w,429,14
2ZUF_1_B,777,14
3JBU_1_v,1358,14
5BKN_1_TT,1471,14
4Y1I_1_A,1537,14
3IQR_1_A,1667,14
2AZX_1_C,1800,14
4M2Z_1_D,2339,14
4WR6_1_1L,2499,14
8APO_1_C1,2932,14
7XK0_1_B,2998,14
1WZ2_1_C,3117,14
6V5C_1_D,3212,14
6VPC_1_A,3978,14
5HR6_1_D,4047,14
3GX3_1_A,310,13
7PO4_1_B,359,13
8A57_1_B,637,13
5A9Z_1_AB,829,13
7KAB_1_C,977,13
1F7Y_1_B,1527,13
4JF2_1_A,1589,13
4WTG_1_T,1641,13
5JB2_1_X,1846,13
2DR5_1_B,2156,13
7N1P_1_Pt,2487,13
5H0R_1_H,2580,13
5IBB_1_3L,2763,13
5KCS_1_1x,2869,13
5HR7_1_C,2897,13
2BS1_1_R,2967,13
3BNS_1_C,3165,13
3WQY_1_C,3316,13
5AH5_1_C,3503,13
6RM3_1_L70,3627,13
5F8J_1_B,3952,13
5FKD_1_A,4101,13
7QQ3_1_J,4178,13
4V8J_1_AV,11,12
8BTR_1_u,75,12
6ZU5_1_L70,204,12
5ZEM_1_A,562,12
7KUP_1_A,593,12
2CSX_1_C,961,12
2YDH_1_A,1153,12
5JXS_1_B,1378,12
8CI5_1_C,1614,12
6T0V_1_V,1778,12
6GVY_1_C,1862,12
3BT7_1_C,2319,12
7P7T_1_C,2451,12
8EOF_1_R,2465,12
4Y1J_1_B,2492,12
5FK3_1_A,2575,12
6NWY_1_QV,2868,12
6OF6_1_XW,2925,12
1HC8_1_D,3206,12
3BNR_1_A,3304,12
5XY3_1_3,3366,12
6D12_1_C,3457,12
6OZS_1_C,3514,12
8FR8_1_E,3791,12
2HW8_1_B,3809,12
3OXB_1_B,3926,12
5BKL_1_m,3992,12
4X4Q_1_D,513,11
4CSU_1_A,1095,11
2K4C_1_A,1194,11
2DU5_1_D,1228,11
3OXD_1_B,1240,11
1C0A_1_B,1315,11
4OO8_1_B,1635,11
2BGG_1_R,1971,11
7O80_1_AT,1990,11
3JB7_1_t,2231,11
1QF6_1_B,2377,11
3ZD7_1_C,2442,11
3AMT_1_B,2724,11
6GSN_1_1,2828,11
6QNQ_1_2K,2842,11
8ANY_1_Ax,2914,11
7S36_1_R,3112,11
7ORI_1_H,3443,11
5BKL_1_kk,3459,11
7EAF_1_A,3886,11
5HR6_1_C,4111,11
6I0Y_1_V,783,10
7EDL_1_A,1308,10
1S03_1_B,1687,10
5IBB_1_1L,1826,10
5Y58_1_Z,2015,10
8AM9_1_8,2070,10
7QV2_1_x,2302,10
8CGK_1_b,2326,10
5WWT_1_C,2500,10
1Y39_1_C,2590,10
6VWN_1_4,2605,10
4W2E_1_w,2775,10
4KQ0_1_B,2799,10
6LSF_1_C,2830,10
7OM7_1_I,2846,10
4QIL_1_D,3075,10
6DTD_1_C,3182,10
2ZZM_1_B,3315,10
5JB3_1_4,3357,10
4X4P_1_H,3854,10
6WJR_1_X,4076,10
7RE1_1_T,118,9
7CTT_1_T,238,9
6AAX_1_B,428,9
5FK6_1_A,881,9
7BZF_1_F,939,9
7OJ0_1_V,976,9
2CT8_1_D,1021,9
7PWG_1_w,1062,9
6OJ2_1_XY,1231,9
6GSK_1_1L,1283,9
8AGW_1_x,1292,9
7XWZ_1_C,1361,9
2DR8_1_B,1587,9
6PZQ_1_J,1650,9
1JID_1_B,1772,9
3BNO_1_A,1791,9
7L1F_1_T,1978,9
5NS4_1_C,2067,9
8I9R_1_C4,2116,9
4KR3_1_C,2293,9
5WWT_1_D,2424,9
4WSM_1_1L,2667,9
4B5R_1_A,2807,9
7OPE_1_2,2954,9
4X4V_1_D,3080,9
7O81_1_AJ,3153,9
3ZJV_1_B,3179,9
6XEZ_1_T,3231,9
4JNX_1_B,3306,9
6JBG_1_A,3362,9
7ZTA_1_ETR1,3549,9
5F8L_1_B,3711,9
6CC3_1_A,3816,9
8HF0_1_N,3980,9
4JXZ_1_B,4074,9
7F36_1_G,183,8
7O81_1_AT,274,8
4X4U_1_D,426,8
4K4W_1_B,734,8
7DTE_1_F,760,8
7EOI_1_A,787,8
6KWQ_1_B,816,8
2W2H_1_S,908,8
7NHN_1_B,1215,8
7RQ9_1_1w,1436,8
6TQA_1_G,1438,8
7EDM_1_A,1455,8
4WSD_1_3L,1468,8
6DMD_1_A,1487,8
7M50_1_n,1519,8
6N1D_1_BATN,1535,8
4WSM_1_3L,1669,8
4WSM_1_3K,1702,8
5L00_1_C,1806,8
4K32_1_A,1810,8
3LRN_1_C,1844,8
6YLH_1_3,1861,8
7M50_1_X,1886,8
1GAX_1_D,1911,8
3TS0_1_V,1953,8
1QCU_1_C,2209,8
6N2V_1_B,2257,8
7UO4_1_T,2528,8
2DU6_1_D,2659,8
6Z6M_1_CC,2709,8
7P48_1_5,2950,8
5XTM_1_D,2993,8
7Q4K_1_D2,3127,8
6DN1_1_Z,3167,8
5FK5_1_A,3301,8
4LGT_1_F,3415,8
8BSJ_1_LE,3441,8
8E8M_1_R,3705,8
8CAM_1_b,3787,8
5JBJ_1_X,3875,8
7KJU_1_A,3950,8
5T2A_1_D,4222,8
5WT3_1_C,7,7
4V4P_1_BC,174,7
3GX7_1_A,406,7
6Y3G_1_F,823,7
7K00_1_Z,866,7
4WJ4_1_B,874,7
8D9L_1_C,932,7
6GSM_1_1,969,7
6OJ2_1_XW,988,7
8OIR_1_AG,995,7
7ODF_1_F,1385,7
5VW1_1_C,1390,7
3NPQ_1_C,1483,7
4JXX_1_B,1491,7
7QI6_1_Ax,1528,7
7D81_1_A,1560,7
5JBH_1_4,1584,7
2ZHA_1_B,1618,7
4YN6_1_A,1620,7
6LAZ_1_A,1664,7
8AW3_1_1,1692,7
8FFY_1_C,1743,7
1VFG_1_C,1776,7
5Z71_1_B,1777,7
2CV2_1_D,1805,7
7ST7_1_5,1993,7
4X2B_1_B,2037,7
3EPL_1_E,2052,7
5FKG_1_A,2089,7
4ZC7_1_C,2226,7
5OMW_1_B,2845,7
3OWW_1_B,2853,7
5FKE_1_A,2882,7
4X4O_1_B,2945,7
6WJS_1_X,2961,7
7ONB_1_H,3337,7
6TB3_1_n,3351,7
7O1A_1_B8,3402,7
6XQB_1_F,3527,7
1EFW_1_D,3528,7
3AVY_1_T,3564,7
7CXN_1_J,3581,7
3OXD_1_A,3616,7
5CD1_1_N,3629,7
2ZH2_1_B,3631,7
5OA3_1_1,3681,7
5FK4_1_A,3746,7
6GSL_1_3L,3811,7
6GSL_1_3K,3828,7
3OXJ_1_B,3909,7
2DR2_1_B,4061,7
7Q4K_1_D3,4148,7
4KR2_1_C,158,6
6AH3_1_T,250,6
4RDX_1_C,652,6
1J2B_1_D,1030,6
7Y2P_1_A,1246,6
4X4P_1_B,1307,6
4ENB_1_A,1735,6
7LYS_1_B,1918,6
6TZ1_1_T,2068,6
5NCO_1_1,2113,6
5C9H_1_G,2248,6
6DDG_1_2,2310,6
4K31_1_B,2350,6
6CF2_1_G,2361,6
6KC7_1_B,2441,6
1QCU_1_A,2606,6
3NPQ_1_A,2666,6
4AY2_1_C,2675,6
1N35_1_C,2747,6
6G19_1_X,2989,6
2D6F_1_F,3019,6
3NCU_1_C,3143,6
5HSW_1_B,3283,6
3J81_1_1,3312,6
7ZJW_1_F,3420,6
5AH5_1_D,3578,6
2GIS_1_A,3614,6
6V5B_1_D,3679,6
6YWX_1_bb,3845,6
4AS1_1_B,4208,6
7OL0_1_P,65,5
2TRA_1_A,143,5
7AQC_1_P,155,5
7S4V_1_B,423,5
5EL5_1_1L,714,5
6LXD_1_D,726,5
2QUS_1_B,1034,5
4X0B_1_B,1147,5
4M6D_1_B,1227,5
6O8X_1_B,1249,5
4PLX_1_C,1251,5
7Z42_1_V,1278,5
4X4T_1_B,1317,5
2VPL_1_B,1330,5
2DET_1_C,1337,5
4AOB_1_A,1359,5
4P3S_1_B,1413,5
4F8U_1_A,1496,5
5F5H_1_C,1511,5
2F8S_1_C,1514,5
6GTG_1_B,1678,5
8HMY_1_T,1765,5
3SYW_1_A,1853,5
5DDO_1_A,1859,5
8BSI_1_LE,1906,5
3BNL_1_A,1974,5
2ZH5_1_B,2225,5
7OJN_1_R,2243,5
3NPQ_1_B,2259,5
7QI6_1_Aw,2374,5
5JU8_1_AX,2644,5
7ZUW_1_6,2803,5
7QI5_1_Aw,2974,5
6GSJ_1_3L,3076,5
6Z8K_1_P,3128,5
4C7O_1_E,3200,5
2BGG_1_P,3256,5
7ABF_1_5,3323,5
4GPW_1_A,3345,5
3LRR_1_C,3458,5
2NRE_1_F,3518,5
7M3T_1_TT,3669,5
4WR6_1_2K,3698,5
7OZV_1_T,3821,5
5NS3_1_D,4058,5
6JE3_1_B,49,4
6GZ5_1_Bv,254,4
5E81_1_1K,401,4
5ND9_1_B,863,4
5FK2_1_A,913,4
1QVF_1_3,972,4
6S13_1_B,1024,4
7ELH_1_T,1389,4
5BKN_1_UU,1426,4
5BKL_1_e,1442,4
7QP6_1_7,1741,4
3OVA_1_C,1751,4
1VFG_1_D,1876,4
7KRP_1_P,2371,4
8APO_1_C2,2443,4
8ASW_1_X,2523,4
7E8O_1_X,2602,4
6LSH_1_B,2820,4
3FOZ_1_C,2864,4
7UOE_1_T,2883,4
8E74_1_R,2900,4
7MJV_1_E,3025,4
8DFV_1_E,3146,4
7DWH_1_X,3196,4
7UOB_1_T,3234,4
5EL7_1_1L,3302,4
6G63_1_B,3374,4
7ORO_1_T,3465,4
4WRA_1_3L,3466,4
7M50_1_TT,3496,4
4MGN_1_D,3622,4
7M50_1_e,3744,4
3WC2_1_Q,3762,4
5F8M_1_B,3822,4
6MDZ_1_E,3888,4
6NTA_1_QV,4016,4
6HA8_1_x,4023,4
6O5F_1_D,4030,4
8B0X_1_Z,4147,4
4RQE_1_B,4163,4
3OXB_1_A,57,3
6RFL_1_U,68,3
4WC5_1_B,111,3
6RJD_1_D,112,3
3WRU_1_A,592,3
4QOZ_1_D,846,3
3WQZ_1_C,893,3
7BKP_1_X,1120,3
7XJZ_1_B,1180,3
7TNX_1_C,1467,3
4YHW_1_E,1505,3
3J7R_1_S6,1530,3
5FKF_1_A,1548,3
5UNE_1_A,1654,3
7TQV_1_G,1854,3
5AXN_1_P,1976,3
7PZY_1_10,2099,3
7NSQ_1_v,2642,3
1ZDH_1_S,2668,3
3FOZ_1_D,2782,3
5BKL_1_WW,2806,3
5ZTM_1_C,2866,3
6LSE_1_C,2962,3
4P3U_1_C,3059,3
4NGF_1_G,3237,3
6Q97_1_7,3536,3
7MRL_1_A,3556,3
6W6L_1_u,3561,3
7VG2_1_D,3682,3
7KX9_1_B,3767,3
7UQ6_1_B,4005,3
6SWE_1_4,4140,3
5IQR_1_6,4166,3
4X4V_1_B,4167,3
3J0L_1_V,547,2
5OC6_1_B,620,2
6YHS_1_8,842,2
7M50_1_h,851,2
6T83_1_6b,955,2
1ZDK_1_S,1217,2
5B63_1_B,1588,2
4Z31_1_E,1708,2
6H9H_1_E,1818,2
7AQD_1_T,1885,2
6R87_1_B,1959,2
5ON3_1_E,1962,2
7XD9_1_E,2190,2
6C8M_1_A,2534,2
4X0A_1_B,2731,2
2YIF_1_Z,2736,2
6GSK_1_2L,2903,2
8P2K_1_AT,3057,2
3MQK_1_D,3174,2
5CCX_1_N,3190,2
7NHL_1_D,3467,2
4CQN_1_B,3525,2
7V6C_1_F,3680,2
5E7K_1_1K,3732,2
7OHT_1_3,3819,2
6AHU_1_T,3864,2
5GAM_1_W,3954,2
7TJ2_1_G,4021,2
4QI2_1_F,4107,2
5O5J_1_W,4156,2
2DER_1_D,4219,2
1EIY_1_C,335,1
8ID2_1_D,581,1
4YVK_1_C,692,1
7N30_1_Pt,732,1
6ZXZ_1_B,1003,1
7JL0_1_X,1019,1
7TNZ_1_C,1171,1
5ZEJ_1_A,1207,1
4V4Z_1_AD,1253,1
6Q9A_1_7,1279,1
5ID6_1_G,1430,1
6CU1_1_A,1482,1
4MGM_1_B,1538,1
6M6S_1_C,1566,1
5UEF_1_A,1733,1
3IQN_1_A,1816,1
7XAM_1_B,1986,1
4V7L_1_AW,2039,1
2ZKO_1_C,2096,1
3A2K_1_D,2114,1
7ELH_1_P,2129,1
4LGT_1_E,2139,1
2ZH1_1_B,2186,1
7UO7_1_T,2219,1
6F4G_1_C,2286,1
5F9H_1_F,2430,1
5WT1_1_F,2507,1
3F2W_1_X,2520,1
7KJT_1_A,2701,1
6YWY_1_bb,2831,1
4YCO_1_E,2902,1
8BF5_1_M,2935,1
5FK1_1_A,3309,1
3OUY_1_C,3385,1
3TUP_1_T,3462,1
4WZO_1_2L,3492,1
5F8N_1_B,3500,1
7OZU_1_T,3505,1
7ED5_1_J,3563,1
2PJP_1_B,3691,1
8BUU_1_V,3720,1
7B3B_1_T,3903,1
7TO2_1_B,3920,1
5JBG_1_X,4042,1
7N0B_1_T,4205,1
